,Book-Title,avg-rating,Book-Author,Publisher,Year-Of-Publication,Image-URL-L
0,Harry Potter and the Prisoner of Azkaban (Book 3),5.852803738317757,J. K. Rowling,Scholastic,1999,http://images.amazon.com/images/P/0439136350.01.LZZZZZZZ.jpg
3,Harry Potter and the Goblet of Fire (Book 4),5.8242894056847545,J. K. Rowling,Scholastic,2000,http://images.amazon.com/images/P/0439139597.01.LZZZZZZZ.jpg
5,Harry Potter and the Sorcerer's Stone (Book 1),5.737410071942446,J. K. Rowling,Scholastic,1998,http://images.amazon.com/images/P/0590353403.01.LZZZZZZZ.jpg
9,Harry Potter and the Order of the Phoenix (Book 5),5.501440922190202,J. K. Rowling,Scholastic,2003,http://images.amazon.com/images/P/043935806X.01.LZZZZZZZ.jpg
13,Harry Potter and the Chamber of Secrets (Book 2),5.183453237410072,J. K. Rowling,Scholastic,2000,http://images.amazon.com/images/P/0439064872.01.LZZZZZZZ.jpg
16,The Hobbit : The Enchanting Prelude to The Lord of the Rings,5.00711743772242,J.R.R. TOLKIEN,Del Rey,1986,http://images.amazon.com/images/P/0345339681.01.LZZZZZZZ.jpg
17,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",4.948369565217392,J.R.R. TOLKIEN,Del Rey,1986,http://images.amazon.com/images/P/0345339703.01.LZZZZZZZ.jpg
26,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),4.895652173913043,J. K. Rowling,Arthur A. Levine Books,1999,http://images.amazon.com/images/P/059035342X.01.LZZZZZZZ.jpg
28,"The Two Towers (The Lord of the Rings, Part 2)",4.880769230769231,J.R.R. TOLKIEN,Del Rey,1986,http://images.amazon.com/images/P/0345339711.01.LZZZZZZZ.jpg
39,To Kill a Mockingbird,4.7,Harper Lee,Little Brown &amp; Company,1988,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg
47,The Da Vinci Code,4.642538975501114,Dan Brown,Doubleday,2003,http://images.amazon.com/images/P/0385504209.01.LZZZZZZZ.jpg
53,The Five People You Meet in Heaven,4.551162790697674,Mitch Albom,Hyperion,2003,http://images.amazon.com/images/P/0786868716.01.LZZZZZZZ.jpg
55,The Catcher in the Rye,4.5456570155902005,J.D. Salinger,"Little, Brown",1991,http://images.amazon.com/images/P/0316769487.01.LZZZZZZZ.jpg
62,The Lovely Bones: A Novel,4.468725868725869,Alice Sebold,"Little, Brown",2002,http://images.amazon.com/images/P/0316666343.01.LZZZZZZZ.jpg
63,1984,4.454225352112676,George Orwell,Signet Book,1990,http://images.amazon.com/images/P/0451524934.01.LZZZZZZZ.jpg
72,Prodigal Summer: A Novel,4.450592885375494,Barbara Kingsolver,Perennial,2001,http://images.amazon.com/images/P/0060959037.01.LZZZZZZZ.jpg
73,Neverwhere,4.449056603773585,Neil Gaiman,Avon,1998,http://images.amazon.com/images/P/0380789019.01.LZZZZZZZ.jpg
78,The Secret Life of Bees,4.447028423772609,Sue Monk Kidd,Penguin Books,2003,http://images.amazon.com/images/P/0142001740.01.LZZZZZZZ.jpg
84,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,4.3568904593639575,Michael Moore,Regan Books,2002,http://images.amazon.com/images/P/0060392452.01.LZZZZZZZ.jpg
85,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",4.354969574036511,MITCH ALBOM,Doubleday,1997,http://images.amazon.com/images/P/0385484518.01.LZZZZZZZ.jpg
